Date,Open,High,Low,Close,Volume,Message
6-Oct-15,240,243.03,235.58,241.46,5235897,
7-Oct-15,236.63,237.7,229.12,231.96,6813959,
8-Oct-15,230.08,230.72,221.31,226.72,6133216,
9-Oct-15,220.93,224.37,218.36,220.69,6158370,
12-Oct-15,222.99,223,215.27,215.58,3836303,
13-Oct-15,213.28,222.522,211.13,219.25,5171535,
14-Oct-15,220.67,220.95,215.43,216.88,3104446,
15-Oct-15,216.43,221.73,213.7,221.31,2844233,
16-Oct-15,223.04,230.481,222.87,227.01,4334493,
19-Oct-15,226.5,231.15,224.94,228.1,2507895,
20-Oct-15,227.72,228.6,202,213.03,14900047,
21-Oct-15,211.99,214.81,208.8,210.09,4183471,
22-Oct-15,211.56,215.75,209.4,211.72,2825159,
23-Oct-15,215,215.35,207.69,209.09,4235462,
26-Oct-15,211.38,215.88,210,215.26,3391438,
27-Oct-15,214.84,217.1,207.51,210.35,3519449,
28-Oct-15,211.31,213.45,208.3,212.96,2728593,
29-Oct-15,211.75,213.748,210.64,211.63,1805032,
30-Oct-15,210.4,211.63,203.89,206.93,4438901,
2-Nov-15,208.92,215.8,207.22,213.79,3927944,
3-Nov-15,213.85,214.44,207.75,208.35,8332486,
4-Nov-15,227,232.74,225.2,231.63,12726366,3Q15 Earnings
5-Nov-15,230.58,234.584,229.19,231.77,4496843,
6-Nov-15,230.7,233.359,229.5,232.36,2445293,
9-Nov-15,232.99,232.99,224.31,225.33,3850860,
10-Nov-15,223.48,223.7,216.08,216.5,4617007,
11-Nov-15,217.77,219.48,213.63,219.08,3347806,
12-Nov-15,217.85,219,212.66,212.94,2915900,
13-Nov-15,212.95,212.99,206.52,207.19,3430327,
16-Nov-15,206.09,214.98,205.8,214.31,2925395,
17-Nov-15,215.2,216,211.4,214,2148679,
18-Nov-15,214.5,221.38,212.52,221.07,2811900,
19-Nov-15,220.54,226.19,220.3,221.8,2504375,
20-Nov-15,223.49,225,213.58,220.01,4400722,
23-Nov-15,217.35,219.18,214.68,217.75,2526199,
24-Nov-15,215.37,221,215,218.25,2480293,
25-Nov-15,221.34,230.825,220.375,229.64,3990779,
27-Nov-15,231.06,232.25,227.01,231.61,1949353,
30-Nov-15,231.79,234.28,229.08,230.26,2659813,
1-Dec-15,231.06,238,231.05,237.19,3733955,
2-Dec-15,237,238.6,231.23,231.99,2981468,
3-Dec-15,235.48,237.45,230,232.71,2939564,
4-Dec-15,232.46,233.27,227.66,230.38,2573603,
7-Dec-15,227.7,235.63,226.15,231.13,3144223,
8-Dec-15,227.52,228.8,224.2,226.72,2687636,
9-Dec-15,226.7,227.5,220.72,224.52,3057753,
10-Dec-15,224.71,228.49,223.64,227.07,2071692,
11-Dec-15,225.24,225.75,216.64,217.02,3268726,
14-Dec-15,217.51,220.92,214.87,218.58,2831518,
15-Dec-15,221.82,222.22,218,221.09,2244424,
16-Dec-15,222.1,234.88,220.73,234.51,5104341,
17-Dec-15,233.94,237.76,229.815,233.39,3298638,
18-Dec-15,232.89,235.9,229.29,230.46,3014170,
21-Dec-15,231.69,235.83,231.08,232.56,1953174,
22-Dec-15,234.99,236.55,229.63,229.95,1961495,
23-Dec-15,232.18,233.45,228.13,229.7,1554979,
24-Dec-15,230.56,231.88,228.28,230.57,710277,
28-Dec-15,231.49,231.98,225.54,228.95,1901304,
29-Dec-15,230.06,237.72,229.547,237.19,2406290,
30-Dec-15,236.6,243.634,235.671,238.09,3697921,
31-Dec-15,238.51,243.45,238.37,240.01,2715038,
4-Jan-16,230.72,231.38,219,223.41,6827146,
5-Jan-16,226.36,226.89,220,223.43,3186752,
6-Jan-16,220,220.05,215.98,219.04,3779128,
7-Jan-16,214.19,218.44,213.67,215.65,3554251,
8-Jan-16,217.86,220.44,210.77,211,3628058,
11-Jan-16,214.01,214.45,203,207.85,4091422,
12-Jan-16,211.6,213.739,205.31,209.97,3091917,
13-Jan-16,212.01,212.65,200,200.31,4125697,
